Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
Forecasts on U.S. Foreign Aid Funding,Good Judgment Inc,$72000,2025-03-06,https://www.givewell.org/research/grants/good-judgment-inc-forecasts-on-us-foreign-aid-funding-march-2025,"Forecasting,Research",Operating Funds,
Funding IDinsight for Coverage Analysis of Baseline Surveys in Uttar Pradesh and Bihar,Evidence Action,$144250,2025-02-24,https://www.givewell.org/research/grants/Evidence-Action-Funding-IDinsight-for-Coverage-Analysis-of-Baseline-Surveys-in-Uttar-Pradesh-and-Bihar-February-2025,"Nutrition,Iron,Supplementation",All Grants Fund,India
Syphilis Screening and Treatment in the Philippines,Healthy Futures,$167453,2025-02-18,https://www.givewell.org/research/grants/healthy-futures-global-syphilis-screening-and-treatment-in-the-philippines-february-2025,"HIV/AIDS,Syphilis",Board Designated,Philippines
Qualitative Research on Helen Keller International's Vitamin A Supplementation Program in Nigeria,Busara Center for Behavioral Economics,$168509,2025-02-14,https://www.givewell.org/research/grants/busara-qualitative-research-on-helen-keller-internationals-vitamin-a-supplementation-program-in-nigeria-february-2025,"Nutrition,Research,Supplementation,Vitamin A supplementation (VAS)",Operating Funds,Nigeria
Malaria Guidelines Review and Update Grant,World Health Organization,$416292,2025-02-12,https://www.givewell.org/research/grants/who-malaria-guidelines-development-group-guidelines-review-and-update-grant-february-2025,Malaria,All Grants Fund,
Malaria Funding Gaps,"Clinton Health Access Initiative, Inc.",$250000,2025-02-06,https://www.givewell.org/research/grants/clinton-health-access-initiative-chai-malaria-funding-gaps-february-2025,Malaria,Board Designated,"Côte d’Ivoire,Haiti,Sierra Leone,Zimbabwe"
Grant for Iron Repletion RCT,Walter and Eliza Hall Institute of Medical Research,$3828632,2025-02-03,https://www.givewell.org/research/grants/Walter-and-Eliza-Hall-Institute-of-Medical-Research-Grant-for-Iron-Repletion-RCT-January-2025,"Iron,Research",All Grants Fund,Bangladesh
Development of In-line Chlorination Adapter,Mangrove Water,$236958,2025-01-31,https://www.givewell.org/research/grants/mangrove-water-development-of-in-line-chlorination-adapter-january-2025,"Chlorination,Water",Board Designated,
"Renewal Grant for Seasonal Malaria Chemoprevention in Nampula Province, Mozambique",Malaria Consortium,$4000000,2025-01-30,https://www.givewell.org/research/grants/malaria-consortium-renewal-grant-for-smc-in-nampula-province-mozambique-january-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Board Designated,Mozambique
Implementation Guide for In-Line Chlorination,Mangrove Water,$88550,2025-01-28,https://www.givewell.org/research/grants-mangrove-water-implementation-guide-for-in-line-chlorination-december-2024,"Chlorination,Water",All Grants Fund,
