Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
UC Berkeley—Research Support,"University of California, Berkeley",$170000,2019-02-01,https://www.givewell.org/research/incubation-grants/february-2019-ted-miguel-research-support,Deworming,,
Results for Development—Childhood Pneumonia Treatment Program (2019),Results for Development Institute Inc,$5605398,2019-01-01,https://www.givewell.org/research/incubation-grants/results-for-development/january-2019-grant,Antibiotics,,Tanzania
"Evidence Action Beta—Iron and Folic Acid Supplementation (""Phase 2"")",Evidence Action,$3408259,2018-12-01,https://www.givewell.org/research/incubation-grants/december-2018-evidence-action-beta-iron-folic-acid-phase-2,"Nutrition,Iron,Supplementation",,India
Innovation in Government Initiative—General Support,Innovation in Government Initiative (IGI),$1000000,2018-12-01,https://www.givewell.org/research/incubation-grants/innovation-in-government-initiative/december-2018-grant,Policy,,
Schistosomiasis Control Initiative—Recommendations to Good Ventures for Grants i,Unlimit Health (formerly SCI Foundation),$2500000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,Deworming,,
GAIN's universal salt iodization program—Recommendations to Good Ventures for Gr,Global Alliance for Improved Nutrition (GAIN),$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Nutrition,Fortification",,
Development Media International—Recommendations to Good Ventures for Grants in N,Development Media International,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,Mass media,,
Sightsavers' deworming program—Recommendations to Good Ventures for Grants in No,Sightsavers,$9700000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,Deworming,,
Top Charities Fund grant November 2018,Malaria Consortium,$1100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
Iodine Global Network—Recommendations to Good Ventures for Grants in November 20,Iodine Global Network,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Nutrition,Fortification",,
Evidence Action's Dispensers for Safe Water—Recommendations to Good Ventures for,Evidence Action,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Chlorination,Water",,
Malaria Consortium's SMC program—Recommendations to Good Ventures for Grants in,Malaria Consortium,$26600000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
GiveDirectly—Recommendations to Good Ventures for Grants in November 2018,GiveDirectly,$2500000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Evidence Action's Deworm the World Initiative—Recommendations to Good Ventures f,Evidence Action,$10400000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,Deworming,,
END Fund's deworming program—Recommendations to Good Ventures for Grants in Nove,END Fund,$2500000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,Deworming,,
Living Goods—Recommendations to Good Ventures for Grants in November 2018,Living Goods,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"""Maternal, neonatal, and child health""",,"Kenya,Uganda"
Project Healthy Children—Recommendations to Good Ventures for Grants in November,Project Healthy Children Inc,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Nutrition,Fortification,Iron",,
Food Fortification Initiative—Recommendations to Good Ventures for Grants in Nov,Emory University,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Nutrition,Fortification,Iron",,
Helen Keller Intl's VAS program—Recommendations to Good Ventures for Grants in N,Helen Keller International,$6500000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",,
Zusha! Road Safety Campaign—Recommendations to Good Ventures for Grants in Novem,Georgetown University,$100000,2018-11-01,https://blog.givewell.org/2018/11/26/our-recommendation-to-good-ventures/,"Infrastructure,Policy",,
Against Malaria Foundation—Recommendations to Good Ventures for Grants in Novemb,Against Malaria Foundation,$2500000,2018-11-01,https://blog.givewell.org/2018/11/26/our-updated-top-charities-for-giving-season-2018/#rfmf,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant August 2018,Unlimit Health (formerly SCI Foundation),$1230000,2018-08-01,https://blog.givewell.org/2018/08/28/allocation-of-discretionary-funds-from-q2-2018/,Deworming,,
Top Charities Fund grant August 2018,Against Malaria Foundation,$2872063,2018-08-01,https://blog.givewell.org/2018/08/28/allocation-of-discretionary-funds-from-q2-2018/,"Malaria,Insecticide-treated nets (ITNs)",,
One for the World—General Support (2018),One For the World (MAIN),$205000,2018-07-01,https://www.givewell.org/about/impact/one-for-the-world/july-2018-grant,Organizational support,,
Evidence Action Beta—Incubator Program,Evidence Action,$5069866,2018-07-01,https://www.givewell.org/research/incubation-grants/july-2018-evidence-action-beta-incubator,Organizational support,,
Fortify Health—General Support,Fortify Health,$295217,2018-06-01,https://www.givewell.org/research/incubation-grants/fortify-health/june-2018-grant,"Nutrition,Fortification,Iron",,India
Top Charities Fund grant May 2018,Unlimit Health (formerly SCI Foundation),$900000,2018-05-01,https://blog.givewell.org/2018/06/04/allocation-of-discretionary-funds-from-q1-2018/,Deworming,,
Nick Otis—Forecasting Research,Nick Otis,$10000,2018-05-01,https://www.givewell.org/research/incubation-grants/may-2018-forecasting-research-grant,"Forecasting,Research",,
Top Charities Fund grant May 2018,Against Malaria Foundation,$2055043,2018-05-01,https://blog.givewell.org/2018/06/04/allocation-of-discretionary-funds-from-q1-2018/,"Malaria,Insecticide-treated nets (ITNs)",,
IDinsight—Embedded GiveWell Team (April 2018),ID Insight Inc,$1196729,2018-04-01,https://www.givewell.org/research/incubation-grants/IDinsight-embedded-givewell-team-2018,,,
Evidence Action Beta—Iron and Folic Acid Supplementation,Evidence Action,$320000,2018-03-01,https://www.givewell.org/research/incubation-grants/march-2018-evidence-action-beta-iron-folic-acid,"Nutrition,Iron,Supplementation",,India
Top Charities Fund grant March 2018,Unlimit Health (formerly SCI Foundation),$5600000,2018-03-01,https://blog.givewell.org/2018/04/06/allocation-of-discretionary-funds-from-q4-2017/,Deworming,,
Evidence Action—General Operating Support,Evidence Action,$800000,2017-12-01,https://www.givewell.org/charities/evidence-action/dec-2017-grant,"Deworming,Livelihoods,Migration",,
END Fund's deworming program—Recommendations to Good Ventures for Grants in Nove,END Fund,$2500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,Deworming,,
GiveDirectly—Recommendations to Good Ventures for Grants in November 2017,GiveDirectly,$2500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Iodine Global Network—Recommendations to Good Ventures for Grants in November 20,Iodine Global Network,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Nutrition,Fortification",,
Schistosomiasis Control Initiative—Recommendations to Good Ventures for Grants i,Unlimit Health (formerly SCI Foundation),$2500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,Deworming,,
Against Malaria Foundation—Recommendations to Good Ventures for Grants in Novemb,Against Malaria Foundation,$2500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Malaria,Insecticide-treated nets (ITNs)",,
Sightsavers' deworming program—Recommendations to Good Ventures for Grants in No,Sightsavers,$2500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,Deworming,,
Malaria Consortium's SMC program—Recommendations to Good Ventures for Grants in,Malaria Consortium,$27900000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
Helen Keller Intl's VAS program—Recommendations to Good Ventures for Grants in N,Helen Keller International,$7200000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",,"Burkina Faso,Guinea,Mali"
New Incentives—General Support (November 2017),New Incentives,$5944203,2017-11-01,https://www.givewell.org/charities/new-incentives/november-2017-grant,"Conditional cash transfers (CCTs),Incentives,Research,Vaccines",,Nigeria
Development Media International—Recommendations to Good Ventures for Grants in N,Development Media International,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,Mass media,,Burkina Faso
Evidence Action's No Lean Season program—Recommendations to Good Ventures for Gr,Evidence Action,$11500000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Livelihoods,Migration",,Bangladesh
Evidence Action’s Dispensers for Safe Water program—Recommendations to Good Vent,Evidence Action,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Chlorination,Water",,
Living Goods—Recommendations to Good Ventures for Grants in November 2017,Living Goods,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"""Maternal, neonatal, and child health""",,
Food Fortification Initiative—Recommendations to Good Ventures for Grants in Nov,Emory University,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Nutrition,Fortification,Iron",,
Project Healthy Children—Recommendations to Good Ventures for Grants in November,Project Healthy Children Inc,$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Nutrition,Fortification,Iron",,
Top Charities Fund grant November 2017,Evidence Action,$700000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/,Deworming,,"India,Kenya,Pakistan"
GAIN's universal salt iodization program—Recommendations to Good Ventures for Gr,Global Alliance for Improved Nutrition (GAIN),$100000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,"Nutrition,Fortification",,"Ethiopia,Kenya,Mozambique,Tanzania"
Evidence Action's Deworm the World Initiative—Recommendations to Good Ventures f,Evidence Action,$15200000,2017-11-01,https://blog.givewell.org/2017/11/27/our-top-charities-for-giving-season-2017/#rfmf,Deworming,,"India,Kenya,Pakistan"
Top Charities Fund grant August 2017,Against Malaria Foundation,$2500000,2017-08-01,https://blog.givewell.org/2017/04/03/allocation-of-discretionary-funds/,"Malaria,Insecticide-treated nets (ITNs)",,
Centre for Pesticide Suicide Prevention—General Support,University of Edinburgh,$1336409,2017-08-01,https://www.givewell.org/research/incubation-grants/centre-pesticide-suicide-prevention/august-2017-grant,"Policy,Suicide prevention",,"India,Nepal"
Top Charities Fund grant August and September 2017,Evidence Action,$2300000,2017-08-01,https://blog.givewell.org/2017/08/30/why-were-allocating-discretionary-funds-to-the-deworm-the-world-initiative/,Deworming,,
Center for Effective Global Action at UC Berkeley—Scoping RCTs for Long-Term Fol,"University of California, Berkeley",$492188,2017-07-01,https://www.givewell.org/research/incubation-grants/cega-uc-berkeley/july-2017-grant,Research,,
Charity Science Health—SMS Reminders for Immunization,Charity Science Health,$357543,2017-07-01,https://www.givewell.org/charities/charity-science/charity-science-health/july-2017-grant,"SMS reminders,Vaccines",,India
Center for Effective Global Action at UC Berkeley—Deworming Study Planning Gift,"University of California, Berkeley",$18000,2017-06-01,https://www.givewell.org/research/incubation-grants/cega-uc-berkeley/june-2017-grant,Deworming,,Tanzania
IDinsight—Embedded GiveWell Team (May 2017),ID Insight Inc,$2321617,2017-05-01,https://www.givewell.org/charities/IDinsight/may-2017-grant,,,
Top Charities Fund grant April 2017,Evidence Action,$500000,2017-04-01,https://blog.givewell.org/2017/04/03/allocation-of-discretionary-funds/,Deworming,,
Evidence Action—Strengthen Operations,Evidence Action,$2642300,2017-04-01,https://www.givewell.org/charities/evidence-action/april-2017-grant,Organizational support,,
UC Berkeley—KLPS-4 Survey,"University of California, Berkeley",$1104259,2017-04-01,https://www.givewell.org/research/incubation-grants/uc-berkeley/april-2017-grant,Deworming,,Kenya
New Incentives—General Support (April 2017),New Incentives,$820000,2017-04-01,https://www.givewell.org/charities/new-incentives/april-2017-grant,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
Top Charities Fund grant April 2017,Against Malaria Foundation,$2100000,2017-04-01,https://blog.givewell.org/2017/04/03/allocation-of-discretionary-funds/,"Malaria,Insecticide-treated nets (ITNs)",,
"Georgetown University Initiative on Innovation, Development, and Evaluation—Zush",Georgetown University,$900000,2017-01-01,https://www.givewell.org/charities/gui2de/january-2017-grant,"Infrastructure,Policy",,"Kenya,Rwanda,Tanzania,Uganda"
Top Charities Fund grant December 2016,Against Malaria Foundation,$500000,2016-12-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Evidence Action—No Lean Season (Dec 2016),Evidence Action,$1687500,2016-12-01,https://www.givewell.org/charities/evidence-action/december-2016-grant,"Livelihoods,Migration",,"Bangladesh,Indonesia"
New Incentives—Exit Grant and Immunizations Pilot,New Incentives,$368587,2016-11-01,https://www.givewell.org/charities/new-incentives/november-2016-grant,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
Charity Science Health—General Support,Charity Science Health,$200000,2016-11-01,https://www.givewell.org/charities/charity-science/charity-science-health/november-2016-grant,"SMS reminders,Vaccines",,India
IDinsight—Embedded GiveWell Team,ID Insight Inc,$314752,2016-10-01,https://www.givewell.org/charities/IDinsight/october-2016-grant,,,
Top Charities Fund grant September 2016,Against Malaria Foundation,$300000,2016-09-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant June 2016,Against Malaria Foundation,$200000,2016-06-01,,"Malaria,Insecticide-treated nets (ITNs)",,
IDinsight—General Support (June 2016),ID Insight Inc,$1985000,2016-06-01,https://www.givewell.org/charities/IDinsight/june-2016-grant,Organizational support,,
Innovations for Poverty Action—Mindset Engagement in Cash Transfers,Innovations for Poverty Action,$350000,2016-05-01,https://www.givewell.org/international/charities/ipa/may-2016-grant,"Cash transfers,Incentives,Livelihoods,Research,Unconditional cash transfers",,
Results for Development—Childhood Pneumonia Treatment Scale-Up,Results for Development Institute Inc,$6400000,2016-05-01,https://www.givewell.org/charities/results-for-development/may-2016-grant,Antibiotics,,Tanzania
Top Charities Fund grant April 2016,Against Malaria Foundation,$1000000,2016-04-01,,"Malaria,Insecticide-treated nets (ITNs)",,
New Incentives—General Support (March 2016),New Incentives,$300000,2016-03-01,https://www.givewell.org/charities/new-incentives/march-2016-grant,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
Evidence Action—No Lean Season,Evidence Action,$812351,2016-03-01,https://www.givewell.org/evidence-action/march-2016-grant,"Livelihoods,Migration",,Bangladesh
Top Charities Fund grant February 2016,Against Malaria Foundation,$1600000,2016-02-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant January 2016,Against Malaria Foundation,$800000,2016-01-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant December 2015,Against Malaria Foundation,$600000,2015-12-01,,"Malaria,Insecticide-treated nets (ITNs)",,
J-PAL and IRD—Incentives for Immunization Studies,Massachusetts Institute of Technology,$200000,2015-09-01,https://www.givewell.org/JPAL-IRD-grant,"Incentives,Research,Vaccines",,"India,Pakistan"
Top Charities Fund grant July 2015,Evidence Action,$67000,2015-07-01,,Deworming,,
Top Charities Fund grant July 2015,GiveDirectly,$133000,2015-07-01,,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Top Charities Fund grant July 2015,Against Malaria Foundation,$667000,2015-07-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant July 2015,Unlimit Health (formerly SCI Foundation),$133000,2015-07-01,,Deworming,,
New Incentives—General Support (March 2015),New Incentives,$100000,2015-03-01,http://www.goodventures.org/our-portfolio/grants/new-incentives-general-support,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
Top Charities Fund grant March 2015,Evidence Action,$147400,2015-03-01,,Deworming,,
Top Charities Fund grant March 2015,Unlimit Health (formerly SCI Foundation),$292600,2015-03-01,,Deworming,,
Top Charities Fund grant March 2015,Against Malaria Foundation,$1467400,2015-03-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Evidence Action—Future Programs (No Lean Season) (March 2015),Evidence Action,$170792,2015-03-01,https://www.givewell.org/evidence-action/march-2014-grant,"Livelihoods,Migration",,Bangladesh
Top Charities Fund grant March 2015,GiveDirectly,$292600,2015-03-01,,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Top Charities Fund grant December 2014,GiveDirectly,$13300,2014-12-01,,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Top Charities Fund grant December 2014,Against Malaria Foundation,$66700,2014-12-01,,"Malaria,Insecticide-treated nets (ITNs)",,
Top Charities Fund grant December 2014,Unlimit Health (formerly SCI Foundation),$13300,2014-12-01,,Deworming,,
Top Charities Fund grant December 2014,Evidence Action,$6700,2014-12-01,,Deworming,,
IDinsight—Scaling Up a High-Potential Development Intervention,ID Insight Inc,$34382,2014-09-01,https://www.givewell.org/charities/IDinsight/september-2014-grant,"Incentives,Vaccines",,
Top Charities Fund grant August 2014,GiveDirectly,$60000,2014-08-01,,"Cash transfers,Deworming,Incentives,Unconditional cash transfers",,
Top Charities Fund grant August 2014,Unlimit Health (formerly SCI Foundation),$20000,2014-08-01,,Deworming,,
Top Charities Fund grant August 2014,Evidence Action,$20000,2014-08-01,,Deworming,,
Top Charities Fund grant May 2014,Unlimit Health (formerly SCI Foundation),$80000,2014-05-01,,Deworming,,
Top Charities Fund grant May 2014,Evidence Action,$10000,2014-05-01,,Deworming,,
Top Charities Fund grant May 2014,GiveDirectly,$110000,2014-05-01,,"Cash transfers,Deworming,Incentives,Unconditional cash transfers",,
Evidence Action—Future Programs (No Lean Season) (March 2014),Evidence Action,$250000,2014-03-01,https://www.givewell.org/evidence-action/march-2014-grant,"Livelihoods,Migration",,Bangladesh
New Incentives—General Support (Jan 2014),New Incentives,$100000,2014-01-01,https://www.givewell.org/international/charities/new-incentives,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
